duration:193.69588763541665
      note      start        end
instrument:29
        54   1.730769 2.2115381666666667
        61   2.307692 2.5901438854166665
        58  2.5961535 2.8786053854166664
        58 2.8846149999999997 3.3653841666666664
        56   3.461538 3.743989885416666
        54  3.7499995 4.032451385416667
        54   4.038461 4.320912885416666
        59 4.326922499999999 4.897835885416666
        58  4.9038455 5.186297385416666
        58   5.192307 5.474758885416667
        56  5.4807685 5.763220385416666
        56 5.769229999999999 6.0516818854166665
        54  6.0576915 6.340143385416666
        54  6.6346145 6.917066385416666
        61   6.923076 7.205527885416666
        58 7.2115374999999995 7.493989385416667
        58   7.499999 7.782450885416666
        56 7.788460499999999 8.070912385416666
        56   8.076922 8.359373885416666
        54  8.3653835 8.647835385416666
        54 8.653844999999999 8.936296885416667
        51 8.942306499999999 9.513219885416666
        49  9.5192295 10.288460166666667
        54  10.961537 11.243988885416666
        54 11.249998499999998 11.532450385416666
        61 11.538459999999999 11.820911885416665
        58 11.8269215 12.109373385416665
        58  12.115383 12.397834885416666
        56 12.4038445 12.686296385416666
        56 12.692305999999999 12.974757885416667
        54 12.980767499999999 13.263219385416665
        54  13.269229 13.551680885416665
        59 13.5576905 14.128603885416666
        58 14.134613499999999 14.417065385416667
        58 14.423074999999999 14.705526885416665
        56 14.7115365 14.993988385416666
        56  14.999998 15.282449885416666
        54 15.288459499999998 15.570911385416666
        54 15.576920999999999 15.859372885416665
        61 15.865382499999999 16.436295885416666
        58 16.4423055 16.724757385416666
        58  16.730767 17.013218885416666
        56 17.0192285 17.590141885416667
        54 17.596151499999998 17.878603385416664
        54 17.884612999999998 18.167064885416664
        56 18.1730745 18.743987885416665
        51 18.7499975 19.519228166666664
        54 20.192304999999998 20.618987635416666
        54 20.62499725 20.763218385416664
        54  20.769228 21.051679885416664
        54 21.0576895 21.340141385416665
        54  21.346151 21.484372135416667
        54 21.490381749999997 21.628602885416665
        54 21.6346125 21.772833635416664
        54 21.778843249999998 21.917064385416666
        54  21.923074 22.205525885416666
        54 22.2115355 22.493987385416666
        54 22.499996999999997 22.638218135416665
        54 22.64422775 22.782448885416667
        54 23.076919999999998 23.359371885416664
        54 23.365381499999998 23.503602635416666
        54 23.50961225 23.647833385416664
        54  23.653843 23.936294885416665
        54 23.9423045 24.080525635416667
        54 24.086535249999997 24.224756385416665
        54  24.230766 24.368987135416663
        54 24.374996749999998 24.513217885416665
        54 24.5192275 24.801679385416666
        58  24.807689 24.945910135416664
        54 24.95191975 25.090140885416666
        58 25.384611999999997 25.522833135416665
        61 25.52884275 25.667063885416663
        61 25.673073499999997 25.955525385416664
        61 25.961534999999998 26.243986885416664
        59 26.249996499999998 26.388217635416666
        59 26.394227249999997 26.532448385416664
        58  26.538458 26.820909885416665
        58 26.8269195 27.109371385416665
        58  27.115381 27.397832885416666
        49 27.548073249999998 27.686294385416666
        58  27.692304 27.974755885416666
